p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.1,0.5,0.9,0.05,0.09,0.1094,52575.1,1945.4,3186.3,5978.3,45.3
0.1,0.5,1.0,0.05,0.1,0.1058,52601.0,1854.4,3053.3,5817.3,46.1
0.1,0.6,0.6,0.06,0.06,0.1199,52494.4,2182.0,3557.1,6647.0,44.4
0.1,0.6,0.7,0.06,0.07,0.1161,52522.0,2062.1,3424.4,6397.9,45.4
0.1,0.6,0.8,0.06,0.08,0.1118,52516.4,2009.3,3301.2,6205.5,46.1
0.1,0.6,0.9,0.06,0.09,0.1098,52647.4,1943.4,3207.2,6053.7,46.6
0.1,0.6,1.0,0.06,0.1,0.1056,52568.3,1838.9,3073.9,5837.5,46.0
0.1,0.7,0.7,0.07,0.07,0.1152,52530.3,2055.2,3427.6,6447.8,45.9
0.1,0.7,0.8,0.07,0.08,0.1123,52586.1,1958.4,3280.2,6192.3,47.2
0.1,0.7,0.9,0.07,0.09,0.1101,52551.5,1884.0,3190.0,5991.3,44.9
0.1,0.7,1.0,0.07,0.1,0.1065,52612.0,1813.7,3051.0,5876.5,46.7
0.1,0.8,0.8,0.08,0.08,0.1139,52512.7,1980.6,3345.8,6280.3,45.1
0.1,0.8,0.9,0.08,0.09,0.1107,52503.1,1864.6,3178.2,6062.7,44.6
0.1,0.8,1.0,0.08,0.1,0.1075,52658.6,1798.9,3082.0,5860.0,46.8
0.1,0.9,0.9,0.09,0.09,0.1114,52567.2,1873.9,3188.5,6051.6,45.5
0.1,0.9,1.0,0.09,0.1,0.1088,52562.8,1771.7,3080.3,5884.7,45.0
0.1,1.0,1.0,0.1,0.1,0.1107,52636.9,1803.5,3136.1,5942.1,47.3
0.2,0.1,0.1,0.02,0.02,0.0973,52675.6,1720.4,2784.1,5356.7,48.0
0.2,0.1,0.2,0.02,0.04,0.0945,52640.4,1634.3,2674.8,5145.2,47.6
0.2,0.1,0.3,0.02,0.06,0.091,52791.3,1557.5,2550.4,4979.6,49.1
0.2,0.1,0.4,0.02,0.08,0.0892,52765.8,1458.3,2452.9,4811.4,49.9
0.2,0.1,0.5,0.02,0.1,0.0854,52880.1,1377.4,2328.6,4618.0,51.4
0.2,0.1,0.6,0.02,0.12,0.0842,52797.6,1313.2,2246.2,4458.3,49.5
0.2,0.1,0.7,0.02,0.14,0.0811,52859.4,1245.7,2145.0,4301.6,51.4
0.2,0.1,0.8,0.02,0.16,0.08,52861.1,1206.4,2084.5,4216.2,51.6
0.2,0.1,0.9,0.02,0.18,0.0785,52855.3,1156.4,2019.3,4085.0,51.0
0.2,0.1,1.0,0.02,0.2,0.0763,52913.7,1092.9,1936.4,3980.9,52.0
0.2,0.2,0.2,0.04,0.04,0.0958,52722.2,1598.0,2673.2,5185.3,48.4
0.2,0.2,0.3,0.04,0.06,0.0928,52669.4,1512.3,2550.4,4971.4,47.5
0.2,0.2,0.4,0.04,0.08,0.0897,52782.3,1420.0,2444.2,4780.5,47.5
0.2,0.2,0.5,0.04,0.1,0.0866,52831.8,1343.7,2327.4,4592.8,50.8
0.2,0.2,0.6,0.04,0.12,0.0844,52853.0,1295.8,2255.5,4451.9,51.6
0.2,0.2,0.7,0.04,0.14,0.0828,52823.0,1243.6,2163.6,4331.3,51.4
0.2,0.2,0.8,0.04,0.16,0.0813,52946.3,1182.8,2092.9,4237.9,50.6
0.2,0.2,0.9,0.04,0.18,0.0789,52855.6,1132.5,2008.8,4081.1,51.1
0.2,0.2,1.0,0.04,0.2,0.0772,52928.6,1096.1,1964.7,3976.3,52.9
0.2,0.3,0.3,0.06,0.06,0.0929,52788.7,1475.5,2548.5,4965.4,49.7
0.2,0.3,0.4,0.06,0.08,0.0906,52701.9,1414.2,2436.1,4786.6,48.3
0.2,0.3,0.5,0.06,0.1,0.0872,52823.9,1334.6,2330.6,4609.7,49.9
0.2,0.3,0.6,0.06,0.12,0.0851,52727.7,1266.2,2231.5,4457.4,48.1
0.2,0.3,0.7,0.06,0.14,0.0831,52829.4,1215.1,2151.1,4341.2,50.8
0.2,0.3,0.8,0.06,0.16,0.081,52802.8,1166.4,2092.6,4231.5,49.1
0.2,0.3,0.9,0.06,0.18,0.0795,52884.5,1124.8,2036.6,4132.1,52.7
0.2,0.3,1.0,0.06,0.2,0.0772,52939.0,1065.1,1934.6,3982.2,52.2
0.2,0.4,0.4,0.08,0.08,0.092,52722.8,1393.8,2463.7,4810.8,49.5
0.2,0.4,0.5,0.08,0.1,0.0886,52797.9,1330.5,2357.1,4660.8,49.9
0.2,0.4,0.6,0.08,0.12,0.0863,52822.2,1277.5,2269.5,4488.6,50.2
0.2,0.4,0.7,0.08,0.14,0.0838,52860.4,1202.2,2169.7,4360.9,50.4
0.2,0.4,0.8,0.08,0.16,0.0827,52835.3,1180.0,2109.3,4268.6,52.2
0.2,0.4,0.9,0.08,0.18,0.08,52995.1,1124.9,2033.9,4144.6,53.0
0.2,0.4,1.0,0.08,0.2,0.0782,52861.2,1076.8,1953.1,3968.7,51.3
0.2,0.5,0.5,0.1,0.1,0.0888,52766.9,1300.7,2334.2,4608.1,49.8
0.2,0.5,0.6,0.1,0.12,0.0873,52798.0,1259.4,2265.4,4509.6,50.3
0.2,0.5,0.7,0.1,0.14,0.0838,52832.3,1192.8,2170.7,4315.1,50.8
0.2,0.5,0.8,0.1,0.16,0.0828,52907.9,1137.0,2105.6,4239.2,51.3
0.2,0.5,0.9,0.1,0.18,0.0808,52884.0,1120.1,2054.9,4156.8,52.1
0.2,0.5,1.0,0.1,0.2,0.0792,52915.9,1062.1,1977.2,4043.4,53.0
0.2,0.6,0.6,0.12,0.12,0.0872,52750.9,1232.0,2265.2,4499.5,48.5
0.2,0.6,0.7,0.12,0.14,0.0843,52850.9,1177.6,2185.3,4380.9,51.7
0.2,0.6,0.8,0.12,0.16,0.0829,52876.8,1128.4,2101.5,4225.3,52.3
0.2,0.6,0.9,0.12,0.18,0.0808,52864.5,1089.2,2038.4,4102.2,51.5
0.2,0.6,1.0,0.12,0.2,0.0788,52897.6,1058.3,1970.6,3994.7,52.3
0.2,0.7,0.7,0.14,0.14,0.086,52810.9,1179.5,2207.8,4407.8,49.9
0.2,0.7,0.8,0.14,0.16,0.0831,52836.5,1116.0,2092.2,4225.3,51.2
0.2,0.7,0.9,0.14,0.18,0.0818,52842.6,1067.6,2032.2,4158.7,51.3
0.2,0.7,1.0,0.14,0.2,0.079,52875.8,1027.4,1956.3,3979.7,53.0
0.2,0.8,0.8,0.16,0.16,0.0837,52814.1,1112.7,2124.8,4278.2,50.0
0.2,0.8,0.9,0.16,0.18,0.082,52888.1,1087.9,2064.9,4139.0,52.4
0.2,0.8,1.0,0.16,0.2,0.0813,52857.8,1045.5,1995.4,4031.7,52.0
0.2,0.9,0.9,0.18,0.18,0.0826,52748.9,1061.1,2058.5,4122.7,50.0
0.2,0.9,1.0,0.18,0.2,0.0813,52889.3,1031.3,1996.3,4037.3,53.4
0.2,1.0,1.0,0.2,0.2,0.0815,52839.9,1033.6,2009.5,4068.8,50.4
0.3,0.1,0.1,0.03,0.03,0.081,52958.0,1213.3,2124.7,4274.7,52.3
0.3,0.1,0.2,0.03,0.06,0.0791,52938.5,1159.5,2038.2,4130.1,52.8
0.3,0.1,0.3,0.03,0.09,0.0766,52899.8,1106.0,1949.9,3965.7,51.2
0.3,0.1,0.4,0.03,0.12,0.0754,52983.8,1056.9,1886.7,3900.9,53.7
0.3,0.1,0.5,0.03,0.15,0.073,53060.0,987.0,1803.7,3745.8,55.0
0.3,0.1,0.6,0.03,0.18,0.0718,52942.9,940.6,1751.4,3641.1,53.1
0.3,0.1,0.7,0.03,0.21,0.0693,53051.6,913.4,1691.1,3567.1,55.2
0.3,0.1,0.8,0.03,0.24,0.0685,53108.7,875.9,1650.2,3454.8,56.3
0.3,0.1,0.9,0.03,0.27,0.0666,53056.7,854.0,1598.7,3354.7,55.2
0.3,0.1,1.0,0.03,0.3,0.066,53136.1,821.3,1559.5,3322.3,55.7
0.3,0.2,0.2,0.06,0.06,0.0805,52913.1,1146.5,2055.7,4141.4,51.4
0.3,0.2,0.3,0.06,0.09,0.0776,52996.9,1085.4,1960.0,3990.1,53.2
0.3,0.2,0.4,0.06,0.12,0.0751,52949.1,994.4,1856.6,3809.9,52.6
0.3,0.2,0.5,0.06,0.15,0.0737,53037.4,995.5,1821.4,3766.5,55.2
0.3,0.2,0.6,0.06,0.18,0.0719,53009.8,949.0,1765.6,3642.2,55.9
0.3,0.2,0.7,0.06,0.21,0.0707,53025.8,920.8,1715.7,3550.4,54.1
0.3,0.2,0.8,0.06,0.24,0.0685,53110.6,883.6,1656.5,3492.4,55.0
