p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.100,0.700,0.900,0.070,0.090,0.1107,52630.0,1895.0,3187.8,6048.1,46.3
0.100,0.700,1.000,0.070,0.100,0.1077,52544.6,1835.2,3077.6,5846.5,45.9
0.100,0.800,0.800,0.080,0.080,0.1138,52607.0,1950.4,3320.3,6252.1,46.3
0.100,0.800,0.900,0.080,0.090,0.1106,52569.4,1873.8,3206.1,6048.8,46.4
0.100,0.800,1.000,0.080,0.100,0.1076,52615.1,1823.1,3100.9,5895.8,47.4
0.100,0.900,0.900,0.090,0.090,0.1122,52563.2,1858.7,3193.0,6041.4,46.0
0.100,0.900,1.000,0.090,0.100,0.1090,52580.4,1794.9,3099.4,5874.7,45.7
0.100,1.000,1.000,0.100,0.100,0.1094,52565.8,1796.4,3116.1,5902.7,45.9
0.200,0.100,0.100,0.020,0.020,0.0971,52695.0,1723.9,2815.4,5424.2,48.5
0.200,0.100,0.200,0.020,0.040,0.0947,52827.8,1639.2,2684.9,5200.4,51.2
0.200,0.100,0.300,0.020,0.060,0.0914,52806.6,1542.0,2541.0,4974.6,51.4
0.200,0.100,0.400,0.020,0.080,0.0885,52828.3,1453.5,2425.3,4769.1,50.4
0.200,0.100,0.500,0.020,0.100,0.0854,52813.2,1373.0,2325.9,4600.5,51.0
0.200,0.100,0.600,0.020,0.120,0.0836,52868.2,1318.1,2241.8,4485.3,51.7
0.200,0.100,0.700,0.020,0.140,0.0816,52839.7,1238.0,2149.7,4301.5,51.9
0.200,0.100,0.800,0.020,0.160,0.0799,52937.3,1197.0,2092.0,4217.9,53.4
0.200,0.100,0.900,0.020,0.180,0.0776,52989.9,1155.9,2026.3,4095.6,54.2
0.200,0.100,1.000,0.020,0.200,0.0768,52904.0,1090.3,1942.4,3942.3,52.2
0.200,0.200,0.200,0.040,0.040,0.0955,52717.0,1591.8,2648.1,5131.2,47.9
0.200,0.200,0.300,0.040,0.060,0.0920,52765.0,1521.7,2562.3,4990.2,49.4
0.200,0.200,0.400,0.040,0.080,0.0899,52769.6,1410.9,2427.4,4771.6,49.6
0.200,0.200,0.500,0.040,0.100,0.0861,52772.7,1333.4,2310.5,4577.6,50.2
0.200,0.200,0.600,0.040,0.120,0.0843,52865.0,1280.5,2239.3,4496.0,51.7
0.200,0.200,0.700,0.040,0.140,0.0822,52812.8,1235.7,2172.1,4315.5,50.1
0.200,0.200,0.800,0.040,0.160,0.0809,52859.9,1191.1,2096.2,4233.7,50.8
0.200,0.200,0.900,0.040,0.180,0.0791,52948.9,1135.9,2020.3,4089.9,52.8
0.200,0.200,1.000,0.040,0.200,0.0771,52867.0,1103.3,1960.9,3970.2,51.0
0.200,0.300,0.300,0.060,0.060,0.0930,52797.6,1464.4,2543.4,4941.0,50.0
0.200,0.300,0.400,0.060,0.080,0.0903,52856.2,1395.2,2427.4,4809.3,50.5
0.200,0.300,0.500,0.060,0.100,0.0873,52759.1,1326.5,2328.9,4593.2,48.7
0.200,0.300,0.600,0.060,0.120,0.0847,52870.5,1279.0,2251.7,4508.7,52.0
0.200,0.300,0.700,0.060,0.140,0.0828,52890.2,1203.7,2143.0,4311.4,51.7
0.200,0.300,0.800,0.060,0.160,0.0809,52825.1,1160.4,2075.5,4190.5,49.5
0.200,0.300,0.900,0.060,0.180,0.0788,52926.0,1112.5,2012.2,4087.3,51.8
0.200,0.300,1.000,0.060,0.200,0.0782,52926.4,1087.6,1977.5,3994.9,52.5
