p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.200,0.100,1.000,0.020,0.200,0.0763,52913.7,1092.9,1936.4,3980.9,52.0
0.200,0.200,0.200,0.040,0.040,0.0958,52722.2,1598.0,2673.2,5185.3,48.4
0.200,0.200,0.300,0.040,0.060,0.0928,52669.4,1512.3,2550.4,4971.4,47.5
0.200,0.200,0.400,0.040,0.080,0.0897,52782.3,1420.0,2444.2,4780.5,47.5
0.200,0.200,0.500,0.040,0.100,0.0866,52831.8,1343.7,2327.4,4592.8,50.8
0.200,0.200,0.600,0.040,0.120,0.0844,52853.0,1295.8,2255.5,4451.9,51.6
0.200,0.200,0.700,0.040,0.140,0.0828,52823.0,1243.6,2163.6,4331.3,51.4
0.200,0.200,0.800,0.040,0.160,0.0813,52946.3,1182.8,2092.9,4237.9,50.6
0.200,0.200,0.900,0.040,0.180,0.0789,52855.6,1132.5,2008.8,4081.1,51.1
0.200,0.200,1.000,0.040,0.200,0.0772,52928.6,1096.1,1964.7,3976.3,52.9
0.200,0.300,0.300,0.060,0.060,0.0929,52788.7,1475.5,2548.5,4965.4,49.7
0.200,0.300,0.400,0.060,0.080,0.0906,52701.9,1414.2,2436.1,4786.6,48.3
0.200,0.300,0.500,0.060,0.100,0.0872,52823.9,1334.6,2330.6,4609.7,49.9
0.200,0.300,0.600,0.060,0.120,0.0851,52727.7,1266.2,2231.5,4457.4,48.1
0.200,0.300,0.700,0.060,0.140,0.0831,52829.4,1215.1,2151.1,4341.2,50.8
0.200,0.300,0.800,0.060,0.160,0.0810,52802.8,1166.4,2092.6,4231.5,49.1
0.200,0.300,0.900,0.060,0.180,0.0795,52884.5,1124.8,2036.6,4132.1,52.7
0.200,0.300,1.000,0.060,0.200,0.0772,52939.0,1065.1,1934.6,3982.2,52.2
0.200,0.400,0.400,0.080,0.080,0.0920,52722.8,1393.8,2463.7,4810.8,49.5
0.200,0.400,0.500,0.080,0.100,0.0886,52797.9,1330.5,2357.1,4660.8,49.9
0.200,0.400,0.600,0.080,0.120,0.0863,52822.2,1277.5,2269.5,4488.6,50.2
0.200,0.400,0.700,0.080,0.140,0.0838,52860.4,1202.2,2169.7,4360.9,50.4
0.200,0.400,0.800,0.080,0.160,0.0827,52835.3,1180.0,2109.3,4268.6,52.2
0.200,0.400,0.900,0.080,0.180,0.0800,52995.1,1124.9,2033.9,4144.6,53.0
0.200,0.400,1.000,0.080,0.200,0.0782,52861.2,1076.8,1953.1,3968.7,51.3
0.200,0.500,0.500,0.100,0.100,0.0888,52766.9,1300.7,2334.2,4608.1,49.8
0.200,0.500,0.600,0.100,0.120,0.0873,52798.0,1259.4,2265.4,4509.6,50.3
0.200,0.500,0.700,0.100,0.140,0.0838,52832.3,1192.8,2170.7,4315.1,50.8
0.200,0.500,0.800,0.100,0.160,0.0828,52907.9,1137.0,2105.6,4239.2,51.3
0.200,0.500,0.900,0.100,0.180,0.0808,52884.0,1120.1,2054.9,4156.8,52.1
0.200,0.500,1.000,0.100,0.200,0.0792,52915.9,1062.1,1977.2,4043.4,53.0
0.200,0.600,0.600,0.120,0.120,0.0872,52750.9,1232.0,2265.2,4499.5,48.5
0.200,0.600,0.700,0.120,0.140,0.0843,52850.9,1177.6,2185.3,4380.9,51.7
0.200,0.600,0.800,0.120,0.160,0.0829,52876.8,1128.4,2101.5,4225.3,52.3
0.200,0.600,0.900,0.120,0.180,0.0808,52864.5,1089.2,2038.4,4102.2,51.5
0.200,0.600,1.000,0.120,0.200,0.0788,52897.6,1058.3,1970.6,3994.7,52.3
0.200,0.700,0.700,0.140,0.140,0.0860,52810.9,1179.5,2207.8,4407.8,49.9
0.200,0.700,0.800,0.140,0.160,0.0831,52836.5,1116.0,2092.2,4225.3,51.2
0.200,0.700,0.900,0.140,0.180,0.0818,52842.6,1067.6,2032.2,4158.7,51.3
0.200,0.700,1.000,0.140,0.200,0.0790,52875.8,1027.4,1956.3,3979.7,53.0
0.200,0.800,0.800,0.160,0.160,0.0837,52814.1,1112.7,2124.8,4278.2,50.0
0.200,0.800,0.900,0.160,0.180,0.0820,52888.1,1087.9,2064.9,4139.0,52.4
0.200,0.800,1.000,0.160,0.200,0.0813,52857.8,1045.5,1995.4,4031.7,52.0
0.200,0.900,0.900,0.180,0.180,0.0826,52748.9,1061.1,2058.5,4122.7,50.0
0.200,0.900,1.000,0.180,0.200,0.0813,52889.3,1031.3,1996.3,4037.3,53.4
0.200,1.000,1.000,0.200,0.200,0.0815,52839.9,1033.6,2009.5,4068.8,50.4
0.300,0.100,0.100,0.030,0.030,0.0810,52958.0,1213.3,2124.7,4274.7,52.3
0.300,0.100,0.200,0.030,0.060,0.0791,52938.5,1159.5,2038.2,4130.1,52.8
0.300,0.100,0.300,0.030,0.090,0.0766,52899.8,1106.0,1949.9,3965.7,51.2
0.300,0.100,0.400,0.030,0.120,0.0754,52983.8,1056.9,1886.7,3900.9,53.7
0.300,0.100,0.500,0.030,0.150,0.0730,53060.0,987.0,1803.7,3745.8,55.0
0.300,0.100,0.600,0.030,0.180,0.0718,52942.9,940.6,1751.4,3641.1,53.1
0.300,0.100,0.700,0.030,0.210,0.0693,53051.6,913.4,1691.1,3567.1,55.2
0.300,0.100,0.800,0.030,0.240,0.0685,53108.7,875.9,1650.2,3454.8,56.3
0.300,0.100,0.900,0.030,0.270,0.0666,53056.7,854.0,1598.7,3354.7,55.2
0.300,0.100,1.000,0.030,0.300,0.0660,53136.1,821.3,1559.5,3322.3,55.7
0.300,0.200,0.200,0.060,0.060,0.0805,52913.1,1146.5,2055.7,4141.4,51.4
0.300,0.200,0.300,0.060,0.090,0.0776,52996.9,1085.4,1960.0,3990.1,53.2
0.300,0.200,0.400,0.060,0.120,0.0751,52949.1,994.4,1856.6,3809.9,52.6
0.300,0.200,0.500,0.060,0.150,0.0737,53037.4,995.5,1821.4,3766.5,55.2
0.300,0.200,0.600,0.060,0.180,0.0719,53009.8,949.0,1765.6,3642.2,55.9
0.300,0.200,0.700,0.060,0.210,0.0707,53025.8,920.8,1715.7,3550.4,54.1
0.300,0.200,0.800,0.060,0.240,0.0685,53110.6,883.6,1656.5,3492.4,55.0
0.300,0.200,0.900,0.060,0.270,0.0674,53059.3,849.0,1604.6,3367.6,55.0
0.300,0.200,1.000,0.060,0.300,0.0662,53138.1,813.3,1561.8,3317.0,56.3
0.300,0.300,0.300,0.090,0.090,0.0774,52892.3,1057.9,1935.1,3960.4,51.1
0.300,0.300,0.400,0.090,0.120,0.0761,52975.3,1004.5,1869.9,3853.9,53.3
0.300,0.300,0.500,0.090,0.150,0.0741,53013.7,992.2,1845.0,3779.6,54.0
0.300,0.300,0.600,0.090,0.180,0.0729,52976.7,932.2,1770.6,3667.5,54.2
0.300,0.300,0.700,0.090,0.210,0.0711,52997.0,903.7,1715.9,3589.4,53.0
0.300,0.300,0.900,0.090,0.270,0.0685,53050.1,850.1,1632.1,3418.6,54.8
0.300,0.300,1.000,0.090,0.300,0.0669,53174.7,806.3,1574.8,3346.4,57.5
0.300,0.400,0.400,0.120,0.120,0.0761,52964.3,1001.8,1885.3,3880.5,52.8
0.300,0.400,0.500,0.120,0.150,0.0755,52997.4,989.0,1860.2,3803.5,54.2
0.300,0.400,0.600,0.120,0.180,0.0722,52996.2,908.0,1744.0,3657.3,53.6
0.300,0.400,0.700,0.120,0.210,0.0712,52985.9,886.7,1701.0,3572.2,54.0
0.300,0.400,0.800,0.120,0.240,0.0695,53077.1,857.4,1656.9,3473.4,55.7
0.300,0.400,0.900,0.120,0.270,0.0682,53025.1,839.3,1615.5,3404.8,53.1
0.300,0.400,1.000,0.120,0.300,0.0676,53103.9,801.3,1572.7,3333.3,55.4
0.300,0.500,0.500,0.150,0.150,0.0747,52952.2,947.4,1824.5,3779.4,52.7
0.300,0.500,0.600,0.150,0.180,0.0731,52902.5,912.4,1765.9,3660.2,51.8
0.300,0.500,0.700,0.150,0.210,0.0721,52918.4,888.6,1720.6,3562.8,52.8
0.300,0.500,0.800,0.150,0.240,0.0702,53064.2,854.7,1665.7,3521.9,54.8
0.300,0.500,0.900,0.150,0.270,0.0680,53056.1,814.1,1604.9,3391.6,54.5
0.300,0.500,1.000,0.150,0.300,0.0668,53112.6,794.2,1573.6,3337.8,55.0
0.300,0.600,0.600,0.180,0.180,0.0743,52924.5,911.9,1778.9,3669.9,53.0
0.300,0.600,0.700,0.180,0.210,0.0721,52952.5,875.1,1734.0,3597.6,52.7
0.300,0.600,0.800,0.180,0.240,0.0697,53030.0,835.2,1658.5,3487.9,53.7
0.300,0.600,0.900,0.180,0.270,0.0693,53117.0,827.6,1640.1,3429.4,56.0
0.300,0.600,1.000,0.180,0.300,0.0674,52994.3,798.1,1583.6,3337.4,54.4
0.300,0.700,0.700,0.210,0.210,0.0730,52995.5,875.4,1730.9,3617.3,53.3
0.300,0.700,0.800,0.210,0.240,0.0709,52903.5,847.2,1666.4,3483.5,51.9
0.300,0.700,0.900,0.210,0.270,0.0690,52973.3,810.0,1625.4,3389.1,54.1
0.300,0.700,1.000,0.210,0.300,0.0686,53054.0,790.8,1587.9,3382.0,55.0
0.300,0.800,0.800,0.240,0.240,0.0714,52928.7,818.2,1662.8,3503.8,53.1
0.300,0.800,0.900,0.240,0.270,0.0704,53024.4,816.2,1639.0,3465.6,55.4
0.300,0.800,1.000,0.240,0.300,0.0684,53019.5,778.1,1579.3,3332.5,54.2
0.300,0.900,0.900,0.270,0.270,0.0707,52923.9,810.5,1633.7,3434.7,51.9
0.300,0.900,1.000,0.270,0.300,0.0689,53020.1,768.1,1579.1,3315.0,54.4
0.300,1.000,1.000,0.300,0.300,0.0686,53046.6,759.7,1572.6,3347.4,55.1
0.400,0.100,0.100,0.040,0.040,0.0714,53021.2,963.5,1773.8,3660.2,53.9
0.400,0.100,0.200,0.040,0.080,0.0703,53052.2,922.3,1724.4,3547.7,55.7
0.400,0.100,0.300,0.040,0.120,0.0680,53035.7,875.4,1637.7,3439.6,55.0
0.400,0.100,0.400,0.040,0.160,0.0665,53093.7,834.8,1586.8,3353.6,56.3
0.400,0.100,0.500,0.040,0.200,0.0656,53111.2,808.8,1526.4,3279.8,55.4
0.400,0.100,0.600,0.040,0.240,0.0635,53103.7,777.2,1496.7,3207.7,56.3
0.400,0.100,0.700,0.040,0.280,0.0631,53241.2,759.7,1458.6,3144.2,58.4
0.400,0.100,0.800,0.040,0.320,0.0616,53101.6,733.1,1412.8,3059.1,54.4
0.400,0.100,0.900,0.040,0.360,0.0608,53200.9,701.6,1376.7,2988.3,58.6
0.400,0.100,1.000,0.040,0.400,0.0599,53268.9,685.8,1347.7,2931.1,59.8
0.400,0.200,0.200,0.080,0.080,0.0712,53075.0,901.5,1700.8,3549.5,56.4
0.400,0.200,0.300,0.080,0.120,0.0690,53072.5,865.1,1649.9,3461.4,55.6
0.400,0.200,0.400,0.080,0.160,0.0673,53077.5,826.1,1580.2,3354.8,55.7
0.400,0.200,0.500,0.080,0.200,0.0665,53128.1,804.1,1544.6,3291.3,56.5
0.400,0.200,0.600,0.080,0.240,0.0634,53086.5,758.6,1467.9,3140.1,55.3
0.400,0.200,0.700,0.080,0.280,0.0631,53104.1,747.3,1472.7,3132.1,55.2
0.400,0.200,0.800,0.080,0.320,0.0621,53181.9,733.3,1432.9,3048.9,56.7
0.400,0.200,0.900,0.080,0.360,0.0616,53203.2,718.0,1414.5,3008.7,56.8
0.400,0.200,1.000,0.080,0.400,0.0598,53218.7,688.0,1361.6,2916.6,59.4
0.400,0.300,0.300,0.120,0.120,0.0700,53065.7,858.8,1673.6,3503.0,54.4
0.400,0.300,0.400,0.120,0.160,0.0679,53129.8,831.1,1614.0,3374.9,56.2
0.400,0.300,0.500,0.120,0.200,0.0670,53180.6,804.9,1565.6,3313.9,56.0
0.400,0.300,0.600,0.120,0.240,0.0646,53068.4,763.1,1504.9,3196.2,56.8
0.400,0.300,0.700,0.120,0.280,0.0638,53175.0,747.7,1474.2,3152.0,56.7
0.400,0.300,0.800,0.120,0.320,0.0622,53208.0,708.3,1424.7,3078.8,57.8
0.400,0.300,0.900,0.120,0.360,0.0623,53222.2,708.2,1421.2,3037.6,58.6
0.400,0.300,1.000,0.120,0.400,0.0606,53285.4,680.3,1378.7,2980.4,60.0
0.400,0.400,0.400,0.160,0.160,0.0682,53092.1,818.9,1612.4,3378.6,56.0
0.400,0.400,0.500,0.160,0.200,0.0665,53119.3,789.6,1554.3,3296.7,55.3
0.400,0.400,0.600,0.160,0.240,0.0648,53096.1,765.7,1510.5,3203.5,56.1
