objective,degree,r2,rmse
F1,2,0.9412647350637201,0.004609710514055977
F1,3,0.9872460837240891,0.0021480578224830392
F1,4,0.9973736483241236,0.000974766569706192
F1,5,0.999254827328015,0.0005192214750426889
F2,2,0.9505979201296709,58.74295340149812
F2,3,0.9695066958973659,46.15145562871379
F2,4,0.9720542300656962,44.18157569990271
F2,5,0.9712721074054699,44.79556772703954
F3,2,0.8869739299579631,173.14860318645466
F3,3,0.9706602009966573,88.21821090699373
F3,4,0.9936472027862765,41.04990676035043
F3,5,0.9987260631419825,18.38246002543227
F4,2,0.9343574439885876,1.2291931974932198
F4,3,0.9542525583938676,1.026149911863079
F4,4,0.9570120438561251,0.9947198969120822
F4,5,0.9562450333715626,1.0035547824656097
